Title,Activity type (Sport or Activity),Neighbourhood,Participants,Cost,Season,Title Link,page,Location,Website,detail_error
Cricket Victoria,Cricket,,"Adults, Children, Families, Female, Male, Older adults, People with disabilities",,Summer,https://www.melbourne.vic.gov.au/sports-activities/cricket-victoria,1,"Corner Fitzroy Street and Lakeside Drive, St Kilda VIC",https://www.cricketvictoria.com.au/,
Cycling Victoria,Cycling,,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/cycling-victoria,1,"281 Darebin Road, Thornbury VIC 3071",site https://www.auscycling.org.au/,
Docklands Sports Club,"Cricket, Frisbee, Recreation or social, Soccer",Docklands,"Female, Male, Older adults, Young people",$,Summer,https://www.melbourne.vic.gov.au/sports-activities/docklands-sports-club,1,"Docklands Sports Club, 534 Docklands Dr, Docklands VIC 3008",https://moomba.melbourne.vic.gov.au,
Docklands Sports Courts,"Basketball, Netball, Soccer",Docklands,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",$,,https://www.melbourne.vic.gov.au/sports-activities/docklands-sports-courts,1,80 Harbour Esplanade Docklands 3008,https://activemelbourne.ymca.org.au/venues/docklands-sports-courts,
Docklands Yacht Club,Boating and rowing,Docklands,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/docklands-yacht-club,1,"Docklands Community Boating Hub 912 Collins Street, Docklands VIC 3008",https://docklands.yachting.org.au/,
Dragon Boat Victoria,Boating and rowing,Docklands,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/dragon-boat-victoria,1,"Docklands Community Hub, 912 Collins Street, Docklands VIC 3008",https://www.dragonboatvictoria.com.au/,
Exodus Battle LARP,Recreation or social,Kensington,"Adults, Female, Male, Older adults, Young people",$,Winter,https://www.melbourne.vic.gov.au/sports-activities/exodus-battle-larp,1,"JJ Holland Park, Kensington VIC 3031",https://exodusbattlelarp.com/,
Fawkner Park Tennis Courts,Tennis,South Yarra,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/fawkner-park-tennis-courts,1,"65 Toorak Road West, South Yarra VIC 3141",http://www.victennisacademy.com.au/,
Fencing Victoria,Fencing,North Melbourne,"Adults, Children, Families, Female, Male, Older adults",,,https://www.melbourne.vic.gov.au/sports-activities/fencing-victoria,1,"1st Floor, 204-206 Arden Street, North Melbourne VIC 3051",https://www.fencingvictoria.org/,
Flagstaff Gardens Tennis Courts,Tennis,West Melbourne,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/flagstaff-gardens-tennis-courts,1,"Flagstaff Gardens Tennis Courts, 309-311 William St, West Melbourne VIC 3003",https://activemelbourne.ymca.org.au/venues/flagstaff-gardens-tennis-courts,
Handball Federation of Victoria,Gym and fitness,Parkville,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/handball-federation-victoria,2,PO Box 817 Parkville VIC 3052,http://handballvic.org.au/,
Hockey Victoria,Hockey,Parkville,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,All year,https://www.melbourne.vic.gov.au/sports-activities/hockey-victoria,2,"10 Brens Drive, Parkville VIC 3052",https://www.hockeyvictoria.org.au/,
Holland Park Extreme Sports Facility,"Gym and fitness, Recreation or social, Skating",Kensington,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/holland-park-extreme-sports-facility,2,"67-121 Kensington Road, Kensington VIC 3031",https://moomba.melbourne.vic.gov.au,
Karate Victoria,Martial arts,,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/karate-victoria,2,"s and opening hours Memberships and policies Borrowing and renewing eLibrary and digital resources Computers, wi-fi and printing Makerspaces Book a librarian Learn English What's on Kid's corner Community heritage",https://karatevictoria.com.au/,
Kensington Banks Tennis Courts,Tennis,Kensington,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/kensington-banks-tennis-courts,2,"Speakman Street, Kensington VIC 3031",https://kensington.ymca.org.au/sports/tennis-court-hire,
